id,pmid,title,abstract,authors,first_author,journal,publication_year,create_date,pmcid,doi,citation,product_inn,product_id,category,adverse_events,has_all_icsr_criteria,ownership_excluded,exclusion_reason,is_relevant_safety_info,justification
1,40275823,Anaphylactic Reaction to Lisinopril: Case Report and Literature Review,"We describe a case of anaphylactic reaction in a 38-year-old male (patient code: ANP-2025-087) following intravenous administration of Lisinopril 50mg. The reaction occurred within 15 minutes of drug administration and was managed by Dr. Emily Rodriguez in the emergency department. The patient developed urticaria, bronchospasm, and hypotension (BP 80/50 mmHg). Treatment with epinephrine, corticosteroids, and antihistamines resulted in complete recovery. This case highlights the importance of monitoring for hypersensitivity reactions.",Smith R; Rodriguez W,Smith R,British Journal of Clinical Pharmacology,2025,2025-12-11,PMC1005321,10.5434/sef9t5m0xg,Smith R et al. British Journal of Clinical Pharmacology. 2025;103(5):246-207.,Lisinopril,3,icsr_cannot_exclude,"['Anaphylaxis', 'Urticaria', 'Bronchospasm', 'Hypotension']",True,False,,,
2,40029430,Anaphylactic Reaction to Doxorubicin: Case Report and Literature Review,"We describe a case of anaphylactic reaction in a 38-year-old male (patient code: ANP-2025-087) following intravenous administration of Doxorubicin 50mg. The reaction occurred within 15 minutes of drug administration and was managed by Dr. Emily Rodriguez in the emergency department. The patient developed urticaria, bronchospasm, and hypotension (BP 80/50 mmHg). Treatment with epinephrine, corticosteroids, and antihistamines resulted in complete recovery. This case highlights the importance of monitoring for hypersensitivity reactions.",Jones S; Davis E; Williams E; Davis W,Jones S,European Journal of Clinical Pharmacology,2024,2024-11-22,,10.6841/gxsdlbbgf3,Jones S et al. European Journal of Clinical Pharmacology. 2024;95(2):347-811.,Doxorubicin,10,icsr_cannot_exclude,"['Anaphylaxis', 'Urticaria', 'Bronchospasm', 'Hypotension']",True,False,,,
3,40494649,Anaphylactic Reaction to Simvastatin: Case Report and Literature Review,"We describe a case of anaphylactic reaction in a 38-year-old male (patient code: ANP-2025-087) following intravenous administration of Simvastatin 50mg. The reaction occurred within 15 minutes of drug administration and was managed by Dr. Emily Rodriguez in the emergency department. The patient developed urticaria, bronchospasm, and hypotension (BP 80/50 mmHg). Treatment with epinephrine, corticosteroids, and antihistamines resulted in complete recovery. This case highlights the importance of monitoring for hypersensitivity reactions.",Rodriguez J; Martinez L; Rodriguez E; Williams J,Rodriguez J,BMC Pharmacology and Toxicology,2025,2025-12-24,PMC1894334,10.7784/cfwu7w54r5,Rodriguez J et al. BMC Pharmacology and Toxicology. 2025;33(10):998-579.,Simvastatin,5,icsr_cannot_exclude,"['Anaphylaxis', 'Urticaria', 'Bronchospasm', 'Hypotension']",True,False,,,
4,40565296,Anaphylactic Reaction to Doxorubicin: Case Report and Literature Review,"We describe a case of anaphylactic reaction in a 38-year-old male (patient code: ANP-2025-087) following intravenous administration of Doxorubicin 50mg. The reaction occurred within 15 minutes of drug administration and was managed by Dr. Emily Rodriguez in the emergency department. The patient developed urticaria, bronchospasm, and hypotension (BP 80/50 mmHg). Treatment with epinephrine, corticosteroids, and antihistamines resulted in complete recovery. This case highlights the importance of monitoring for hypersensitivity reactions.",Brown W; Garcia R; Johnson M; Johnson M; Williams M; Jones S,Brown W,Journal of Medical Case Reports,2024,2024-07-14,,10.8060/y87vqq54nf,Brown W et al. Journal of Medical Case Reports. 2024;93(4):231-334.,Doxorubicin,10,icsr_cannot_exclude,"['Anaphylaxis', 'Urticaria', 'Bronchospasm', 'Hypotension']",True,False,,,
5,40579929,Severe Hepatotoxicity Following Atorvastatin Administration in a 45-Year-Old Male Patient,"We report a case of a 45-year-old male patient (initials J.M.) who developed severe hepatotoxicity after receiving Atorvastatin 20mg oral. The patient was treated by Dr. Sarah Johnson at Memorial Hospital. Laboratory findings showed elevated liver enzymes (ALT 450 U/L, AST 380 U/L) three days after initiation of therapy. The adverse event was reported to the hospital's pharmacovigilance department. The patient recovered after discontinuation of Atorvastatin and supportive care.",Brown M; Martinez W; Jones L,Brown M,Journal of Medical Case Reports,2025,2025-06-16,PMC9506178,10.2963/6lu5ycqw32,Brown M et al. Journal of Medical Case Reports. 2025;52(10):393-956.,Atorvastatin,14,icsr_cannot_exclude,"['Hepatotoxicity', 'Elevated liver enzymes']",True,False,,,
6,40334105,Severe Hepatotoxicity Following Metronidazole Administration in a 45-Year-Old Male Patient,"We report a case of a 45-year-old male patient (initials J.M.) who developed severe hepatotoxicity after receiving Metronidazole as prescribed oral. The patient was treated by Dr. Sarah Johnson at Memorial Hospital. Laboratory findings showed elevated liver enzymes (ALT 450 U/L, AST 380 U/L) three days after initiation of therapy. The adverse event was reported to the hospital's pharmacovigilance department. The patient recovered after discontinuation of Metronidazole and supportive care.",Johnson M; Davis M; Miller J; Miller E; Garcia M; Brown M,Johnson M,Journal of Medical Case Reports,2024,2024-11-28,,10.4297/2bxqgeirub,Johnson M et al. Journal of Medical Case Reports. 2024;80(7):263-908.,Metronidazole,9,icsr_cannot_exclude,"['Hepatotoxicity', 'Elevated liver enzymes']",True,False,,,
7,40885653,Acute Kidney Injury Associated with Insulin Glargine in Elderly Patient: A Case Report,"A 72-year-old female patient (ID: 2024-PV-1234) presented with acute kidney injury following treatment with Insulin Glargine 50mg subcutaneous. The case was documented by Dr. Michael Chen, nephrologist at City General Hospital. Serum creatinine increased from 1.2 mg/dL to 3.8 mg/dL within 48 hours of drug administration. The patient required temporary dialysis. This adverse drug reaction was classified as serious and reported to regulatory authorities.",Davis E; Smith S; Brown D; Jones M; Johnson L; Brown D,Davis E,Journal of Clinical Pharmacology,2024,2024-06-26,PMC5313319,10.5862/jfsgcqw8s4,Davis E et al. Journal of Clinical Pharmacology. 2024;72(11):429-251.,Insulin Glargine,12,icsr_cannot_exclude,"['Acute kidney injury', 'Elevated serum creatinine']",True,False,,,
8,40037427,Acute Kidney Injury Associated with Amlodipine in Elderly Patient: A Case Report,"A 72-year-old female patient (ID: 2024-PV-1234) presented with acute kidney injury following treatment with Amlodipine 5mg oral. The case was documented by Dr. Michael Chen, nephrologist at City General Hospital. Serum creatinine increased from 1.2 mg/dL to 3.8 mg/dL within 48 hours of drug administration. The patient required temporary dialysis. This adverse drug reaction was classified as serious and reported to regulatory authorities.",Martinez R; Williams S; Williams J; Garcia J; Brown D; Smith W,Martinez R,Internal Medicine,2025,2025-04-10,PMC8876644,10.2739/9m8s6lpast,Martinez R et al. Internal Medicine. 2025;57(10):345-754.,Amlodipine,1,icsr_cannot_exclude,"['Acute kidney injury', 'Elevated serum creatinine']",True,False,,,
9,40498169,Anaphylactic Reaction to Metformin: Case Report and Literature Review,"We describe a case of anaphylactic reaction in a 38-year-old male (patient code: ANP-2025-087) following intravenous administration of Metformin 50mg. The reaction occurred within 15 minutes of drug administration and was managed by Dr. Emily Rodriguez in the emergency department. The patient developed urticaria, bronchospasm, and hypotension (BP 80/50 mmHg). Treatment with epinephrine, corticosteroids, and antihistamines resulted in complete recovery. This case highlights the importance of monitoring for hypersensitivity reactions.",Jones L; Garcia W; Johnson J,Jones L,European Journal of Clinical Pharmacology,2025,2025-03-11,,10.4530/nf7hyzr57m,Jones L et al. European Journal of Clinical Pharmacology. 2025;71(9):817-643.,Metformin,2,icsr_cannot_exclude,"['Anaphylaxis', 'Urticaria', 'Bronchospasm', 'Hypotension']",True,False,,,
10,40204333,Severe Hepatotoxicity Following Cisatracurium Administration in a 45-Year-Old Male Patient,"We report a case of a 45-year-old male patient (initials J.M.) who developed severe hepatotoxicity after receiving Cisatracurium 1g intravenous. The patient was treated by Dr. Sarah Johnson at Memorial Hospital. Laboratory findings showed elevated liver enzymes (ALT 450 U/L, AST 380 U/L) three days after initiation of therapy. The adverse event was reported to the hospital's pharmacovigilance department. The patient recovered after discontinuation of Cisatracurium and supportive care.",Smith J; Davis W,Smith J,Internal Medicine,2025,2025-01-20,PMC4675602,10.7068/h0er23wyln,Smith J et al. Internal Medicine. 2025;130(10):797-583.,Cisatracurium,6,icsr_cannot_exclude,"['Hepatotoxicity', 'Elevated liver enzymes']",True,False,,,
11,40595201,Severe Hepatotoxicity Following Atorvastatin Administration in a 45-Year-Old Male Patient,"We report a case of a 45-year-old male patient (initials J.M.) who developed severe hepatotoxicity after receiving Atorvastatin 80mg oral. The patient was treated by Dr. Sarah Johnson at Memorial Hospital. Laboratory findings showed elevated liver enzymes (ALT 450 U/L, AST 380 U/L) three days after initiation of therapy. The adverse event was reported to the hospital's pharmacovigilance department. The patient recovered after discontinuation of Atorvastatin and supportive care.",Williams L; Miller M; Smith W,Williams L,British Journal of Clinical Pharmacology,2025,2025-12-27,PMC1891700,10.6535/dzogtf6vaz,Williams L et al. British Journal of Clinical Pharmacology. 2025;87(2):882-603.,Atorvastatin,14,icsr_cannot_exclude,"['Hepatotoxicity', 'Elevated liver enzymes']",True,False,,,
12,40435738,Acute Kidney Injury Associated with Cisplatin in Elderly Patient: A Case Report,"A 72-year-old female patient (ID: 2024-PV-1234) presented with acute kidney injury following treatment with Cisplatin 250mg intravenous. The case was documented by Dr. Michael Chen, nephrologist at City General Hospital. Serum creatinine increased from 1.2 mg/dL to 3.8 mg/dL within 48 hours of drug administration. The patient required temporary dialysis. This adverse drug reaction was classified as serious and reported to regulatory authorities.",Smith M; Jones J; Davis M; Johnson D; Williams J,Smith M,Drug Safety,2025,2025-12-11,PMC7351628,10.1847/fc8zs3ucaw,Smith M et al. Drug Safety. 2025;65(8):477-388.,Cisplatin,8,icsr_cannot_exclude,"['Acute kidney injury', 'Elevated serum creatinine']",True,False,,,
13,40210225,Acute Kidney Injury Associated with Lisinopril in Elderly Patient: A Case Report,"A 72-year-old female patient (ID: 2024-PV-1234) presented with acute kidney injury following treatment with Lisinopril 80mg oral. The case was documented by Dr. Michael Chen, nephrologist at City General Hospital. Serum creatinine increased from 1.2 mg/dL to 3.8 mg/dL within 48 hours of drug administration. The patient required temporary dialysis. This adverse drug reaction was classified as serious and reported to regulatory authorities.",Miller M; Miller J; Jones L; Jones E; Miller M; Rodriguez M,Miller M,Pharmacotherapy,2025,2025-05-14,PMC4581872,10.6145/16bf1gs0b6,Miller M et al. Pharmacotherapy. 2025;50(8):617-154.,Lisinopril,3,icsr_cannot_exclude,"['Acute kidney injury', 'Elevated serum creatinine']",True,False,,,
14,40821468,Acute Kidney Injury Associated with Doxorubicin in Elderly Patient: A Case Report,"A 72-year-old female patient (ID: 2024-PV-1234) presented with acute kidney injury following treatment with Doxorubicin 250mg intravenous. The case was documented by Dr. Michael Chen, nephrologist at City General Hospital. Serum creatinine increased from 1.2 mg/dL to 3.8 mg/dL within 48 hours of drug administration. The patient required temporary dialysis. This adverse drug reaction was classified as serious and reported to regulatory authorities.",Davis S; Jones L; Williams W; Garcia E; Davis S; Smith M,Davis S,Journal of Medical Case Reports,2024,2024-07-21,PMC1448036,10.5226/eu5r805fp8,Davis S et al. Journal of Medical Case Reports. 2024;87(1):873-740.,Doxorubicin,10,icsr_cannot_exclude,"['Acute kidney injury', 'Elevated serum creatinine']",True,False,,,
15,40687016,Anaphylactic Reaction to Metformin: Case Report and Literature Review,"We describe a case of anaphylactic reaction in a 38-year-old male (patient code: ANP-2025-087) following intravenous administration of Metformin 50mg. The reaction occurred within 15 minutes of drug administration and was managed by Dr. Emily Rodriguez in the emergency department. The patient developed urticaria, bronchospasm, and hypotension (BP 80/50 mmHg). Treatment with epinephrine, corticosteroids, and antihistamines resulted in complete recovery. This case highlights the importance of monitoring for hypersensitivity reactions.",Garcia S; Davis R; Brown L; Williams M; Garcia J,Garcia S,British Journal of Clinical Pharmacology,2024,2024-08-17,,10.8833/a18ntznto0,Garcia S et al. British Journal of Clinical Pharmacology. 2024;86(10):758-336.,Metformin,2,icsr_cannot_exclude,"['Anaphylaxis', 'Urticaria', 'Bronchospasm', 'Hypotension']",True,False,,,
16,40376488,Acute Kidney Injury Associated with Levothyroxine in Elderly Patient: A Case Report,"A 72-year-old female patient (ID: 2024-PV-1234) presented with acute kidney injury following treatment with Levothyroxine 5mg oral. The case was documented by Dr. Michael Chen, nephrologist at City General Hospital. Serum creatinine increased from 1.2 mg/dL to 3.8 mg/dL within 48 hours of drug administration. The patient required temporary dialysis. This adverse drug reaction was classified as serious and reported to regulatory authorities.",Davis R; Smith W; Smith R; Johnson E; Rodriguez L; Davis R,Davis R,Pharmacotherapy,2024,2024-10-24,,10.9840/pxs1mkpqxy,Davis R et al. Pharmacotherapy. 2024;149(7):967-901.,Levothyroxine,13,icsr_cannot_exclude,"['Acute kidney injury', 'Elevated serum creatinine']",True,False,,,
17,40659118,Acute Kidney Injury Associated with Doxorubicin in Elderly Patient: A Case Report,"A 72-year-old female patient (ID: 2024-PV-1234) presented with acute kidney injury following treatment with Doxorubicin 100mg intravenous. The case was documented by Dr. Michael Chen, nephrologist at City General Hospital. Serum creatinine increased from 1.2 mg/dL to 3.8 mg/dL within 48 hours of drug administration. The patient required temporary dialysis. This adverse drug reaction was classified as serious and reported to regulatory authorities.",Rodriguez D; Garcia L; Martinez R,Rodriguez D,Journal of Clinical Pharmacology,2024,2024-06-10,,10.5447/lykcy4pac9,Rodriguez D et al. Journal of Clinical Pharmacology. 2024;114(3):685-112.,Doxorubicin,10,icsr_cannot_exclude,"['Acute kidney injury', 'Elevated serum creatinine']",True,False,,,
