inn,search_strategy,is_eu_product,territories,dosage_forms,routes,marketing_status,id
Amlodipine,Amlodipine AND ((case report) OR (case series) OR (case study)),False,"['US', 'UK', 'DE', 'FR']","['Tablet', 'Capsule']",['Oral'],Active,1
Metformin,Metformin AND ((case report) OR (case series) OR (case study)),False,"['US', 'CA', 'UK']",['Tablet'],['Oral'],Active,2
Lisinopril,Lisinopril AND ((case report) OR (case series) OR (case study)),False,"['US', 'UK', 'AU']",['Tablet'],['Oral'],Active,3
Omeprazole,Omeprazole AND ((case report) OR (case series) OR (case study)),False,"['US', 'UK', 'DE', 'FR', 'ES']","['Capsule', 'Tablet']",['Oral'],Active,4
Simvastatin,Simvastatin AND ((case report) OR (case series) OR (case study)),False,"['US', 'CA', 'UK']",['Tablet'],['Oral'],Active,5
Cisatracurium,"(Cisatracurium OR ""cisatracurium besilate"" OR ""cisatracurium besylate"") AND ((case report) OR (case series) OR (case study) OR (adverse effects) OR (toxicity) OR (fatal outcomes) OR (pregnancy) OR (lactation) OR (teratogenic) OR (genotoxic) OR (mutagenic) OR (abuse) OR (misuse) OR (off label use) OR (medication errors) OR (interactions) OR (overdose) OR (pediatric population) OR (elderly population) OR (lack of efficacy))",True,"['DE', 'FR', 'IT', 'ES', 'NL']",['Injection'],['Intravenous'],Active,6
Methylprednisolone,Methylprednisolone AND ((case report) OR (case series) OR (case study) OR (adverse effects) OR (toxicity) OR (fatal outcomes) OR (pregnancy) OR (lactation) OR (teratogenic) OR (genotoxic) OR (mutagenic) OR (abuse) OR (misuse) OR (off label use) OR (medication errors) OR (interactions) OR (overdose) OR (pediatric population) OR (elderly population) OR (lack of efficacy)),True,"['DE', 'FR', 'IT', 'ES', 'UK']","['Injection', 'Tablet']","['Intravenous', 'Oral']",Active,7
Cisplatin,Cisplatin AND ((case report) OR (case series) OR (case study) OR (adverse effects) OR (toxicity) OR (fatal outcomes) OR (pregnancy) OR (lactation) OR (teratogenic) OR (genotoxic) OR (mutagenic) OR (abuse) OR (misuse) OR (off label use) OR (medication errors) OR (interactions) OR (overdose) OR (pediatric population) OR (elderly population) OR (lack of efficacy)),True,"['DE', 'FR', 'IT', 'ES', 'UK', 'NL']",['Injection'],['Intravenous'],Active,8
Metronidazole,Metronidazole AND ((case report) OR (case series) OR (case study) OR (adverse effects) OR (toxicity) OR (fatal outcomes) OR (pregnancy) OR (lactation) OR (teratogenic) OR (genotoxic) OR (mutagenic) OR (abuse) OR (misuse) OR (off label use) OR (medication errors) OR (interactions) OR (overdose) OR (pediatric population) OR (elderly population) OR (lack of efficacy)),True,"['DE', 'FR', 'IT', 'ES', 'UK']","['Tablet', 'Injection', 'Gel']","['Oral', 'Intravenous', 'Topical']",Active,9
Doxorubicin,Doxorubicin AND ((case report) OR (case series) OR (case study) OR (adverse effects) OR (toxicity) OR (fatal outcomes) OR (pregnancy) OR (lactation) OR (teratogenic) OR (genotoxic) OR (mutagenic) OR (abuse) OR (misuse) OR (off label use) OR (medication errors) OR (interactions) OR (overdose) OR (pediatric population) OR (elderly population) OR (lack of efficacy)),True,"['DE', 'FR', 'IT', 'ES', 'UK', 'NL', 'BE']",['Injection'],['Intravenous'],Active,10
Warfarin,Warfarin AND ((case report) OR (case series) OR (case study)),False,"['US', 'UK', 'CA']",['Tablet'],['Oral'],Active,11
Insulin Glargine,Insulin Glargine AND ((case report) OR (case series) OR (case study)),False,"['US', 'UK', 'DE', 'FR']",['Injection'],['Subcutaneous'],Active,12
Levothyroxine,Levothyroxine AND ((case report) OR (case series) OR (case study)),False,"['US', 'UK', 'CA', 'AU']",['Tablet'],['Oral'],Active,13
Atorvastatin,Atorvastatin AND ((case report) OR (case series) OR (case study)),False,"['US', 'UK', 'DE', 'FR', 'ES']",['Tablet'],['Oral'],Active,14
Losartan,Losartan AND ((case report) OR (case series) OR (case study)),False,"['US', 'UK', 'CA']",['Tablet'],['Oral'],Active,15
